ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
67,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
338,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
35,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
122,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
420,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
292,democrat,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
87,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
245,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
102,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
129,democrat,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
196,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
200,democrat,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
234,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
56,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
231,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
59,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
95,democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
258,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
228,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
375,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
94,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
435,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
7,democrat,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
299,democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
410,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
240,republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
263,democrat,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
100,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
171,democrat,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
275,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
