ID,"class"
430,democrat
411,democrat
167,democrat
99,democrat
415,democrat
173,democrat
40,democrat
336,democrat
132,democrat
288,democrat
381,democrat
79,democrat
190,democrat
271,democrat
272,democrat
16,democrat
341,democrat
108,democrat
309,democrat
177,democrat
305,democrat
152,democrat
155,democrat
318,democrat
379,democrat
128,democrat
193,democrat
182,democrat
178,democrat
124,democrat
31,democrat
192,democrat
373,democrat
377,democrat
131,democrat
86,democrat
333,democrat
83,democrat
300,democrat
265,democrat
32,democrat
306,democrat
347,democrat
137,democrat
220,democrat
432,democrat
139,democrat
327,democrat
247,democrat
397,democrat
36,democrat
156,democrat
78,democrat
9,democrat
369,democrat
255,democrat
253,democrat
209,democrat
387,democrat
413,democrat
303,democrat
5,democrat
184,democrat
34,democrat
54,democrat
276,democrat
330,democrat
268,democrat
84,democrat
58,democrat
237,democrat
71,democrat
384,democrat
98,democrat
199,democrat
180,democrat
399,democrat
30,democrat
27,democrat
147,democrat
337,democrat
380,democrat
310,democrat
392,democrat
175,democrat
160,democrat
141,democrat
404,democrat
52,democrat
319,democrat
81,democrat
212,democrat
24,democrat
133,democrat
19,democrat
85,democrat
140,democrat
229,democrat
216,democrat
26,democrat
230,democrat
266,democrat
250,democrat
161,democrat
340,democrat
213,democrat
14,democrat
183,democrat
285,democrat
416,democrat
286,democrat
187,democrat
408,democrat
25,democrat
69,democrat
201,democrat
188,democrat
151,democrat
206,democrat
356,democrat
55,democrat
101,democrat
138,democrat
97,democrat
170,democrat
363,democrat
335,democrat
57,democrat
227,democrat
194,democrat
126,democrat
145,democrat
80,democrat
29,democrat
391,democrat
181,democrat
10,democrat
41,democrat
44,democrat
89,democrat
281,democrat
328,democrat
204,democrat
236,democrat
116,democrat
210,democrat
348,democrat
62,democrat
103,democrat
109,democrat
162,democrat
110,democrat
235,democrat
283,democrat
421,democrat
158,democrat
254,democrat
385,democrat
394,democrat
218,democrat
13,democrat
198,democrat
117,democrat
365,democrat
60,democrat
46,democrat
23,democrat
427,democrat
6,democrat
323,democrat
174,democrat
211,democrat
144,democrat
11,democrat
295,democrat
342,democrat
418,democrat
221,democrat
107,democrat
308,democrat
207,democrat
157,democrat
401,democrat
22,democrat
407,democrat
72,democrat
390,democrat
42,democrat
402,democrat
176,democrat
238,democrat
429,democrat
395,democrat
279,democrat
433,democrat
362,democrat
77,democrat
339,democrat
8,democrat
96,democrat
322,democrat
307,democrat
185,democrat
165,democrat
127,democrat
47,democrat
242,democrat
224,democrat
119,democrat
51,democrat
405,democrat
118,democrat
304,democrat
386,democrat
189,democrat
53,democrat
186,democrat
