ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
430,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
411,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
415,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
173,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
288,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
272,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
16,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
152,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
318,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
379,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
128,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
193,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
178,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
124,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
192,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
373,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
377,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
131,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
333,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
265,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
306,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
347,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
137,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
432,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
139,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
397,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
36,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
156,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
9,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
369,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
255,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
209,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
387,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
5,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
184,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
54,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
276,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
330,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
98,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
199,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
310,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
392,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
175,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
160,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
141,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
52,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
24,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
19,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
85,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
216,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
230,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
266,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
250,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
213,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
14,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
183,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
69,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
201,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
188,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
151,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
206,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
138,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
97,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
170,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
363,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
57,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
227,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
145,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
391,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
181,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
41,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
44,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
328,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
236,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
116,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
103,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
109,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
110,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
235,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
283,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
421,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
158,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
394,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
218,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
198,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
365,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
60,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
46,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
23,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
427,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
6,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
323,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
174,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
211,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
144,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
11,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
295,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
207,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
157,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
401,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
22,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
407,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
390,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
176,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
238,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
429,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
395,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
433,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
362,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
339,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
8,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
96,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
185,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
165,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
127,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
47,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
51,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
405,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
304,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
386,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
189,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
186,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
